classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,1.0,1.0,1.0,1.0,0.89,0.714,0.667,0.55,0.556,0.89
gNB,1.0,1.0,1.0,1.0,0.93,0.75,0.75,0.667,0.667,0.93
SVM,1.0,1.0,1.0,1.0,0.91,0.75,0.75,0.667,0.667,0.91
DT,1.0,1.0,1.0,1.0,0.95,0.75,0.75,0.667,0.667,0.95
RF,1.0,1.0,1.0,1.0,0.93,0.75,0.75,0.667,0.667,0.93
KNN,0.913,0.875,0.881,0.886,0.75,0.167,0.5,0.25,0.333,0.75
LDA,0.975,0.969,0.971,0.971,0.84,0.714,0.667,0.55,0.556,0.84
mNB,1.0,1.0,1.0,1.0,0.89,0.714,0.667,0.55,0.556,0.89
ABC,1.0,1.0,1.0,1.0,0.98,0.75,0.75,0.667,0.667,0.98
GBC,1.0,1.0,1.0,1.0,0.95,0.75,0.75,0.667,0.667,0.98
ETC,1.0,1.0,1.0,1.0,0.96,0.714,0.667,0.55,0.556,0.96
BC,1.0,1.0,1.0,1.0,0.95,0.75,0.75,0.667,0.667,0.95
ENS-1,1.0,1.0,1.0,1.0,0.98,0.75,0.75,0.667,0.667,0.98
ENS-2,1.0,1.0,1.0,1.0,0.98,0.75,0.75,0.667,0.667,0.98
LogR,1.0,1.0,1.0,1.0,0.91,0.8,0.833,0.775,0.778,0.91
gNB,1.0,1.0,1.0,1.0,0.93,0.875,0.917,0.883,0.889,0.93
SVM,1.0,1.0,1.0,1.0,0.91,0.8,0.833,0.775,0.778,0.91
DT,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
RF,1.0,1.0,1.0,1.0,0.89,0.875,0.917,0.883,0.889,0.89
KNN,0.896,0.844,0.849,0.857,0.82,0.75,0.75,0.667,0.667,0.82
LDA,0.917,0.911,0.913,0.914,0.84,0.8,0.833,0.775,0.778,0.84
mNB,1.0,1.0,1.0,1.0,0.88,0.8,0.833,0.775,0.778,0.88
ABC,1.0,1.0,1.0,1.0,0.98,0.875,0.917,0.883,0.889,0.98
GBC,1.0,1.0,1.0,1.0,0.95,0.8,0.833,0.775,0.778,0.98
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
BC,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
ENS-1,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
ENS-2,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
LogR,1.0,1.0,1.0,1.0,0.91,0.8,0.833,0.775,0.778,0.91
gNB,1.0,1.0,1.0,1.0,0.93,0.875,0.917,0.883,0.889,0.93
SVM,1.0,1.0,1.0,1.0,0.91,0.8,0.833,0.775,0.778,0.91
DT,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
RF,1.0,1.0,1.0,1.0,0.89,0.875,0.917,0.883,0.889,0.89
KNN,0.896,0.844,0.849,0.857,0.82,0.75,0.75,0.667,0.667,0.82
LDA,0.917,0.911,0.913,0.914,0.84,0.8,0.833,0.775,0.778,0.84
mNB,1.0,1.0,1.0,1.0,0.88,0.8,0.833,0.775,0.778,0.88
ABC,1.0,1.0,1.0,1.0,0.98,0.875,0.917,0.883,0.889,0.98
GBC,1.0,1.0,1.0,1.0,0.95,0.875,0.917,0.883,0.889,0.98
ETC,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.98
BC,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
ENS-1,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
ENS-2,1.0,1.0,1.0,1.0,0.98,0.8,0.833,0.775,0.778,0.98
